Département;Circonscription;Députés;Email;Numéro de circonscription;Prénom;Nom;identifiant;Commission;Sign PPL Peytavie;URL3;Région;Profession;Groupe politique (complet);Groupe politique (abrégé);;;
Bouches-du-Rhône;11-Marc Pena;Marc Pena;marc.pena@assemblee-nationale.fr;11;Marc;Pena;840793;Lois constitutionnelles, de la législation et de l'administration générale de la République;840793;https://www.assemblee-nationale.fr/dyn/deputes/PA840793;Provence-Alpes-Côte d'Azur;(34) - Professeur, profession scientifique;Socialistes et apparentés;SOC;;;
Isère;10-Thierry Perez;Thierry Perez;Aucun email trouvé;10;Thierry;Perez;841199;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841199;Auvergne-Rhône-Alpes;(33) - Cadre de la fonction publique;Rassemblement National;RN;;;
Haute-Savoie;3-Christelle Petex;Christelle Petex;christelle.petex-levet@assemblee-nationale.fr;3;Christelle;Petex;721442;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721442;Auvergne-Rhône-Alpes;Cadre administratif et commercial d'entreprise;Droite Républicaine;DR;;;
Val-de-Marne;4-Maud Petit;Maud Petit;maud.petit@assemblee-nationale.fr, Maud.Petit@assemblee-nationale.fr;4;Maud;Petit;721234;Affaires étrangères;721234;https://www.assemblee-nationale.fr/dyn/deputes/PA721234;Ile-de-France;Chargée de ressources humaines;Les Démocrates;Dem;;;
Français établis hors de France;7-Frédéric Petit;Frédéric Petit;Frederic.Petit@assemblee-nationale.fr, frederic.petit@assemblee-nationale.fr;7;Frédéric;Petit;721182;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721182;Français établis hors de France;Ingénieur;Les Démocrates;Dem;;;
Seine-Saint-Denis;2-Stéphane Peu;Stéphane Peu;Stephane.Peu@assemblee-nationale.fr, stephane.peu@assemblee-nationale.fr;2;Stéphane;Peu;721270;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721270;Ile-de-France;Employé;Gauche Démocrate et Républicaine;GDR;;;
Dordogne;4-Sébastien Peytavie;Sébastien Peytavie;sebastien.peytavie@assemblee-nationale.fr;4;Sébastien;Peytavie;793708;Affaires sociales;793708;https://www.assemblee-nationale.fr/dyn/deputes/PA793708;Nouvelle-Aquitaine;Profession intermédiaire de la santé et du travail social;Écologiste et Social;EcoS;;;
Moselle;6-Kévin Pfeffer;Kévin Pfeffer;kevin.pfeffer@assemblee-nationale.fr;6;Kévin;Pfeffer;794582;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794582;Grand Est;Permanent politique;Rassemblement National;RN;;;
Manche;4-Anna Pic;Anna Pic;anna.pic@assemblee-nationale.fr;4;Anna;Pic;794270;Défense nationale et des forces armées;794270;https://www.assemblee-nationale.fr/dyn/deputes/PA794270;Normandie;Professeur, profession scientifique;Socialistes et apparentés;SOC;;;
Charente;1-René Pilato;René Pilato;rene.pilato@assemblee-nationale.fr;1;René;Pilato;817211;Affaires économiques;817211;https://www.assemblee-nationale.fr/dyn/deputes/PA817211;Nouvelle-Aquitaine;Enseignant;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Haute-Garonne;4-François Piquemal;François Piquemal;francois.piquemal@assemblee-nationale.fr;4;François;Piquemal;793756;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793756;Occitanie;Enseignant;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Puy-de-Dôme;2-Christine Pirès Beaune;Christine Pirès Beaune;christine.piresbeaune@assemblee-nationale.fr, Christine.PiresBeaune@assemblee-nationale.fr;2;Christine;Pirès Beaune;608172;Finances, de l'économie générale et du contrôle budgétaire;608172;https://www.assemblee-nationale.fr/dyn/deputes/PA608172;Auvergne-Rhône-Alpes;Fonctionnaire de catégorie A;Socialistes et apparentés;SOC;;;
Yvelines;3-Béatrice Piron;Béatrice Piron;beatrice.piron@assemblee-nationale.fr, Beatrice.Piron@assemblee-nationale.fr;3;Béatrice;Piron;721844;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721844;Ile-de-France;Chef d'entreprise;Horizons & Indépendants;HOR;;;
Charente-Maritime;5-Christophe Plassard;Christophe Plassard;christophe.plassard@assemblee-nationale.fr;5;Christophe;Plassard;793572;Finances, de l'économie générale et du contrôle budgétaire;793572;https://www.assemblee-nationale.fr/dyn/deputes/PA793572;Nouvelle-Aquitaine;Profession libérale;Horizons & Indépendants;HOR;;;16 RN potentiellement Sign
Drôme;3-Marie Pochon;Marie Pochon;marie.pochon@assemblee-nationale.fr;3;Marie;Pochon;793664;Développement durable et de l'aménagement du territoire;793664;https://www.assemblee-nationale.fr/dyn/deputes/PA793664;Auvergne-Rhône-Alpes;Responsable associative;Écologiste et Social;EcoS;;;
Drôme;2-Lisette Pollet;Lisette Pollet;lisette.pollet@assemblee-nationale.fr;2;Lisette;Pollet;793656;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793656;Auvergne-Rhône-Alpes;Ouvrier qualifié de type industriel;Rassemblement National;RN;;;+1 LFI
Haute-Garonne;5-Jean-François Portarrieu;Jean-François Portarrieu;jean-francois.portarrieu@assemblee-nationale.fr, Jean-Francois.Portarrieu@assemblee-nationale.fr;5;Jean-François;Portarrieu;719528;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719528;Occitanie;Journaliste;Horizons & Indépendants;HOR;;;
Seine-Saint-Denis;3-Thomas Portes;Thomas Portes;thomas.portes@assemblee-nationale.fr;3;Thomas;Portes;796062;Lois constitutionnelles, de la législation et de l'administration générale de la République;796062;https://www.assemblee-nationale.fr/dyn/deputes/PA796062;Ile-de-France;Cheminot;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Rhône;9-Alexandre Portier;Alexandre Portier;alexandre.portier@assemblee-nationale.fr;9;Alexandre;Portier;794994;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794994;Auvergne-Rhône-Alpes;Professeur de philosophie;Droite Républicaine;DR;;;
Meurthe-et-Moselle;5-Dominique Potier;Dominique Potier;Dominique.Potier@assemblee-nationale.fr, dominique.potier@assemblee-nationale.fr;5;Dominique;Potier;607553;Affaires économiques;607553;https://www.assemblee-nationale.fr/dyn/deputes/PA607553;Grand Est;Agriculteur;Socialistes et apparentés;SOC;;;49 Soutiens potentiels
Pyrénées-Atlantiques;1-Josy Poueyto;Josy Poueyto;Josy.Poueyto@assemblee-nationale.fr, josy.poueyto@assemblee-nationale.fr;1;Josy;Poueyto;720720;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720720;Nouvelle-Aquitaine;Retraitée de la fonction publique (hors enseignement);Les Démocrates;Dem;;;
Seine-Maritime;9-Marie-Agnès Poussier-Winsback;Marie-Agnès Poussier-Winsback;marieagnes.poussier-winsback@assemblee-nationale.fr;9;Marie-Agnès;Poussier-Winsback;795270;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795270;Normandie;Enseignante;Horizons & Indépendants;HOR;;;
Yvelines;6-Natalia Pouzyreff;Natalia Pouzyreff;natalia.pouzyreff@assemblee-nationale.fr, Natalia.Pouzyreff@assemblee-nationale.fr;6;Natalia;Pouzyreff;721916;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721916;Ile-de-France;Ingénieure;Ensemble pour la République;EPR;;;
Lot;1-Aurélien Pradié;Aurélien Pradié;Aurelien.Pradie@assemblee-nationale.fr, aurelien.pradie@assemblee-nationale.fr;1;Aurélien;Pradié;720100;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720100;Occitanie;Cadre supérieur (secteur privé);Non inscrit;NI;;;
Isère;1-Hugo Prevost;Hugo Prevost;hugo.prevost@assemblee-nationale.fr;1;Hugo;Prevost;841167;Finances, de l'économie générale et du contrôle budgétaire;841167;https://www.assemblee-nationale.fr/dyn/deputes/PA841167;Auvergne-Rhône-Alpes;(84) - Elève, étudiant;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Côte-d'Or;3-Pierre Pribetich;Pierre Pribetich;pierre.pribetich@assemblee-nationale.fr;3;Pierre;Pribetich;840955;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840955;Bourgogne-Franche-Comté;(34) - Professeur, profession scientifique;Socialistes et apparentés;SOC;;;
Lot;2-Christophe Proença;Christophe Proença;christophe.proenca@assemblee-nationale.fr;2;Christophe;Proença;841367;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841367;Occitanie;(34) - Professeur, profession scientifique;Socialistes et apparentés;SOC;;;
Gironde;3-Loïc Prud'homme;Loïc Prud'homme;loic.prudhomme@assemblee-nationale.fr, Loic.Prudhomme@assemblee-nationale.fr;3;Loïc;Prud'homme;719578;Développement durable et de l'aménagement du territoire;719578;https://www.assemblee-nationale.fr/dyn/deputes/PA719578;Nouvelle-Aquitaine;Fonctionnaire de catégorie B;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Var;3-Stéphane Rambaud;Stéphane Rambaud;stephane.rambaud@assemblee-nationale.fr;3;Stéphane;Rambaud;795966;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795966;Provence-Alpes-Côte d'Azur;Retraité de la police nationale;Rassemblement National;RN;;;
Loiret;6-Richard Ramos;Richard Ramos;richard.ramos@assemblee-nationale.fr, Richard.Ramos@assemblee-nationale.fr;6;Richard;Ramos;720092;Affaires économiques;720092;https://www.assemblee-nationale.fr/dyn/deputes/PA720092;Centre-Val de Loire;Autre cadre (secteur privé);Les Démocrates;Dem;;;
Aube;3-Angélique Ranc;Angélique Ranc;angelique.ranc@assemblee-nationale.fr;3;Angélique;Ranc;793230;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793230;Grand Est;Sans activité professionnelle;Rassemblement National;RN;;;
Aude;3-Julien Rancoule;Julien Rancoule;julien.rancoule@assemblee-nationale.fr;3;Julien;Rancoule;793254;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793254;Occitanie;Profession libérale;Rassemblement National;RN;;;
Réunion;5-Jean-Hugues Ratenon;Jean-Hugues Ratenon;Jean-Hugues.Ratenon@assemblee-nationale.fr, jean-hugues.ratenon@assemblee-nationale.fr;5;Jean-Hugues;Ratenon;721062;Affaires sociales;721062;https://www.assemblee-nationale.fr/dyn/deputes/PA721062;Réunion;Employé (secteur privé);La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Moselle;9-Isabelle Rauch;Isabelle Rauch;Isabelle.Rauch@assemblee-nationale.fr, isabelle.rauch@assemblee-nationale.fr;9;Isabelle;Rauch;720552;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720552;Grand Est;Consultante;Horizons & Indépendants;HOR;;;
Loire-Atlantique;6-Jean-Claude Raux;Jean-Claude Raux;jean-claude.raux@assemblee-nationale.fr;6;Jean-Claude;Raux;794154;Affaires culturelles et de l'éducation;794154;https://www.assemblee-nationale.fr/dyn/deputes/PA794154;Pays de la Loire;Professeur, profession scientifique;Écologiste et Social;EcoS;;;
Allier;3-Nicolas Ray;Nicolas Ray;nicolas.ray@assemblee-nationale.fr;3;Nicolas;Ray;793094;Finances, de l'économie générale et du contrôle budgétaire;793094;https://www.assemblee-nationale.fr/dyn/deputes/PA793094;Auvergne-Rhône-Alpes;Inspecteur principal des Finances publiques;Droite Républicaine;DR;;;
Gironde;6-Marie Récalde;Marie Récalde;marie.recalde@assemblee-nationale.fr;6;Marie;Récalde;341981;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA341981;Nouvelle-Aquitaine;Avocate;Socialistes et apparentés;SOC;;;
Bas-Rhin;1-Sandra Regol;Sandra Regol;sandra.regol@assemblee-nationale.fr;1;Sandra;Regol;794778;Lois constitutionnelles, de la législation et de l'administration générale de la République;794778;https://www.assemblee-nationale.fr/dyn/deputes/PA794778;Grand Est;(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r;Écologiste et Social;EcoS;;;
Polynésie Française;3-Mereana Reid Arbelot;Mereana Reid Arbelot;mereana.reidarbelot@assemblee-nationale.fr;3;Mereana;Reid Arbelot;795240;Défense nationale et des forces armées;795240;https://www.assemblee-nationale.fr/dyn/deputes/PA795240;Polynésie française;Ingénieur en chef du contrôle de la navigation aérienne;Gauche Démocrate et Républicaine;GDR;;;
Somme;3-Matthias Renault;Matthias Renault;matthias.renault@assemblee-nationale.fr;3;Matthias;Renault;841955;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841955;Hauts-de-France;(37) - Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
Seine-et-Marne;5-Franck Riester;Franck Riester;franck.riester@assemblee-nationale.fr;5;Franck;Riester;335758;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA335758;Ile-de-France;Chef d'entreprise;Ensemble pour la République;EPR;;;
Guyane;2-Davy Rimane;Davy Rimane;Aucun email trouvé;2;Davy;Rimane;795876;Affaires étrangères;795876;https://www.assemblee-nationale.fr/dyn/deputes/PA795876;Guyane;Technicien;Gauche Démocrate et Républicaine;GDR;;;
Vaucluse;5-Catherine Rimbert;Catherine Rimbert;catherine.rimbert@assemblee-nationale.fr;5;Catherine;Rimbert;841981;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841981;Provence-Alpes-Côte d'Azur;(31) - Profession libérale;Rassemblement National;RN;;;
Haute-Savoie;1-Véronique Riotton;Véronique Riotton;Veronique.Riotton@assemblee-nationale.fr, veronique.riotton@assemblee-nationale.fr;1;Véronique;Riotton;721426;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721426;Auvergne-Rhône-Alpes;Consultante-Coach en Ressources Humaines;Ensemble pour la République;EPR;;;
Loiret;1-Stéphanie Rist;Stéphanie Rist;Stephanie.Rist@assemblee-nationale.fr, stephanie.rist@assemblee-nationale.fr;1;Stéphanie;Rist;720066;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720066;Centre-Val de Loire;Médecin;Ensemble pour la République;EPR;;;
Réunion;3-Joseph Rivière;Joseph Rivière;joseph.riviere@assemblee-nationale.fr;3;Joseph;Rivière;842227;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA842227;Réunion;(45) - Profession intermédiaire administrative de la fonction publique;Rassemblement National;RN;;;
Essonne;4-Marie-Pierre Rixain;Marie-Pierre Rixain;marie-pierre.rixain@assemblee-nationale.fr, Marie-Pierre.Rixain@assemblee-nationale.fr;4;Marie-Pierre;Rixain;722252;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA722252;Ile-de-France;Consultante en communication;Ensemble pour la République;EPR;;;
Haute-Marne;2-Laurence Robert-Dehault;Laurence Robert-Dehault;laurence.robert-dehault@assemblee-nationale.fr;2;Laurence;Robert-Dehault;794442;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794442;Grand Est;Profession libérale;Rassemblement National;RN;;;
Yvelines;1-Charles Rodwell;Charles Rodwell;charles.rodwell@assemblee-nationale.fr;1;Charles;Rodwell;795528;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795528;Ile-de-France;Cadre de la fonction publique;Ensemble pour la République;EPR;;;
Savoie;2-Vincent Rolland;Vincent Rolland;Vincent.Rolland@assemblee-nationale.fr, vincent.rolland@assemblee-nationale.fr;2;Vincent;Rolland;266808;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA266808;Auvergne-Rhône-Alpes;Collaborateur parlementaire;Droite Républicaine;DR;;;
Haute-Savoie;6-Xavier Roseren;Xavier Roseren;Xavier.Roseren@assemblee-nationale.fr, xavier.roseren@assemblee-nationale.fr;6;Xavier;Roseren;721458;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721458;Auvergne-Rhône-Alpes;Commerçant;Horizons & Indépendants;HOR;;;
Hautes-Alpes;2-Valérie Rossi;Valérie Rossi;valerie.rossi@assemblee-nationale.fr;2;Valérie;Rossi;840673;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840673;Provence-Alpes-Côte d'Azur;(37) - Cadre administratif et commercial d'entreprise;Socialistes et apparentés;SOC;;;
Ille-et-Vilaine;3-Claudia Rouaux;Claudia Rouaux;claudia.rouaux@assemblee-nationale.fr;3;Claudia;Rouaux;342196;Affaires culturelles et de l'éducation;342196;https://www.assemblee-nationale.fr/dyn/deputes/PA342196;Bretagne;Gestionnaire à l'INRAE;Socialistes et apparentés;SOC;;;
Seine-et-Marne;6-Béatrice Roullaud;Béatrice Roullaud;beatrice.roullaud@assemblee-nationale.fr;6;Béatrice;Roullaud;795410;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795410;Ile-de-France;Profession libérale;Rassemblement National;RN;;;
Hérault;1-Jean-Louis Roumégas;Jean-Louis Roumégas;jean-louis.roumegas@assemblee-nationale.fr;1;Jean-Louis;Roumégas;606545;Affaires étrangères;606545;https://www.assemblee-nationale.fr/dyn/deputes/PA606545;Occitanie;Enseignant 1er deg.- Professeur d'école;Écologiste et Social;EcoS;;;
Paris;9-Sandrine Rousseau;Sandrine Rousseau;sandrine.rousseau@assemblee-nationale.fr;9;Sandrine;Rousseau;795076;Affaires sociales;795076;https://www.assemblee-nationale.fr/dyn/deputes/PA795076;Ile-de-France;Professeur, profession scientifique;Écologiste et Social;EcoS;;;
Yvelines;7-Aurélien Rousseau;Aurélien Rousseau;aurelien.rousseau@assemblee-nationale.fr;7;Aurélien;Rousseau;826635;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA826635;Ile-de-France;Maître des requêtes au Conseil d'État;Socialistes et apparentés;SOC;;;
Loire-Atlantique;5-Fabrice Roussel;Fabrice Roussel;fabrice.roussel@assemblee-nationale.fr;5;Fabrice;Roussel;841327;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841327;Pays de la Loire;(34) - Professeur, profession scientifique;Socialistes et apparentés;SOC;;;
Aveyron;3-Jean-François Rousset;Jean-François Rousset;jean-francois.rousset@assemblee-nationale.fr;3;Jean-François;Rousset;793270;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793270;Occitanie;Chirurgien;Ensemble pour la République;EPR;;;
Yonne;2-Sophie-Laurence Roy;Sophie-Laurence Roy;sophie-laurence.roy@assemblee-nationale.fr;2;Sophie-Laurence;Roy;842097;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA842097;Bourgogne-Franche-Comté;(31) - Profession libérale;Rassemblement National;RN;;;
Somme;1-François Ruffin;François Ruffin;Francois.Ruffin@assemblee-nationale.fr, francois.ruffin@assemblee-nationale.fr;1;François;Ruffin;722142;Défense nationale et des forces armées;722142;https://www.assemblee-nationale.fr/dyn/deputes/PA722142;Hauts-de-France;Reporter;Écologiste et Social;EcoS;;;
Rhône;4-Sandrine Runel;Sandrine Runel;sandrine.runel@assemblee-nationale.fr;4;Sandrine;Runel;841717;Affaires sociales;841717;https://www.assemblee-nationale.fr/dyn/deputes/PA841717;Auvergne-Rhône-Alpes;(33) - Cadre de la fonction publique;Socialistes et apparentés;SOC;;;
Pyrénées-Orientales;2-Anaïs Sabatini;Anaïs Sabatini;anais.sabatini@assemblee-nationale.fr;2;Anaïs;Sabatini;794894;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794894;Occitanie;Avocate;Rassemblement National;RN;;;
Oise;3-Alexandre Sabatou;Alexandre Sabatou;alexandre.sabatou@assemblee-nationale.fr;3;Alexandre;Sabatou;794570;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794570;Hauts-de-France;Chef de projets SI;Rassemblement National;RN;;;
Seine-et-Marne;1-Arnaud Saint-Martin;Arnaud Saint-Martin;arnaud.saint-martin@assemblee-nationale.fr;1;Arnaud;Saint-Martin;841845;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841845;Ile-de-France;(34) - Professeur, profession scientifique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Hauts-de-Seine;11-Aurélien Saintoul;Aurélien Saintoul;aurelien.saintoul@assemblee-nationale.fr;11;Aurélien;Saintoul;795982;Défense nationale et des forces armées;795982;https://www.assemblee-nationale.fr/dyn/deputes/PA795982;Ile-de-France;Cadre de la fonction publique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Gironde;7-Sébastien Saint-Pasteur;Sébastien Saint-Pasteur;sebastien.saint-pasteur@assemblee-nationale.fr;7;Sébastien;Saint-Pasteur;841243;Défense nationale et des forces armées;841243;https://www.assemblee-nationale.fr/dyn/deputes/PA841243;Nouvelle-Aquitaine;(33) - Cadre de la fonction publique;Socialistes et apparentés;SOC;;;
Maine-et-Loire;4-Laetitia Saint-Paul;Laetitia Saint-Paul;Laetitia.Saint-Paul@assemblee-nationale.fr, laetitia.saint-paul@assemblee-nationale.fr;4;Laetitia;Saint-Paul;720138;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720138;Pays de la Loire;Officier de l'armée de Terre;Horizons & Indépendants;HOR;;;
Haute-Saône;2-Emeric Salmon;Emeric Salmon;Aucun email trouvé;2;Emeric;Salmon;794954;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794954;Bourgogne-Franche-Comté;Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
Polynésie Française;2-Nicole Sanquer;Nicole Sanquer;nicole.sanquer@assemblee-nationale.fr;2;Nicole;Sanquer;721110;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721110;Polynésie française;Professeur du secondaire et technique;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Cher;2-Nicolas Sansu;Nicolas Sansu;nicolas.sansu@assemblee-nationale.fr;2;Nicolas;Sansu;605745;Finances, de l'économie générale et du contrôle budgétaire;605745;https://www.assemblee-nationale.fr/dyn/deputes/PA605745;Centre-Val de Loire;Permanent politique;Gauche Démocrate et Républicaine;GDR;;;
Val-de-Marne;9-Isabelle Santiago;Isabelle Santiago;isabelle.santiago@assemblee-nationale.fr;9;Isabelle;Santiago;774960;Affaires sociales;774960;https://www.assemblee-nationale.fr/dyn/deputes/PA774960;Ile-de-France;Cadre territorial;Socialistes et apparentés;SOC;;;
Saône-et-Loire;5-Arnaud Sanvert;Arnaud Sanvert;arnaud.sanvert@assemblee-nationale.fr;5;Arnaud;Sanvert;841777;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841777;Bourgogne-Franche-Comté;(56) - Personnel des services directs aux particuliers;Rassemblement National;RN;;;
Paris;8-Eva Sas;Eva Sas;eva.sas@assemblee-nationale.fr;8;Eva;Sas;610002;Finances, de l'économie générale et du contrôle budgétaire;610002;https://www.assemblee-nationale.fr/dyn/deputes/PA610002;Ile-de-France;Cadre supérieur du secteur privé;Écologiste et Social;EcoS;;;
Ardèche;1-Hervé Saulignac;Hervé Saulignac;herve.saulignac@assemblee-nationale.fr, Herve.Saulignac@assemblee-nationale.fr;1;Hervé;Saulignac;340343;Lois constitutionnelles, de la législation et de l'administration générale de la République;340343;https://www.assemblee-nationale.fr/dyn/deputes/PA340343;Auvergne-Rhône-Alpes;Cadre (entreprises publiques);Socialistes et apparentés;SOC;;;
Haut-Rhin;4-Raphaël Schellenberger;Raphaël Schellenberger;Raphael.Schellenberger@assemblee-nationale.fr, raphael.schellenberger@assemblee-nationale.fr;4;Raphaël;Schellenberger;721314;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721314;Grand Est;(33) - Cadre de la fonction publique;Non inscrit;NI;;;
Var;8-Philippe Schreck;Philippe Schreck;philippe.schreck@assemblee-nationale.fr;8;Philippe;Schreck;796050;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA796050;Provence-Alpes-Côte d'Azur;Profession libérale;Rassemblement National;RN;;;
Hauts-de-Seine;4-Sabrina Sebaihi;Sabrina Sebaihi;sabrina.sebaihi@assemblee-nationale.fr;4;Sabrina;Sebaihi;795808;Affaires étrangères;795808;https://www.assemblee-nationale.fr/dyn/deputes/PA795808;Ile-de-France;Profession libérale;Écologiste et Social;EcoS;;;
Hauts-de-Seine;9-Stéphane Séjourné;Stéphane Séjourné;stephane.sejourne@assemblee-nationale.fr;9;Stéphane;Séjourné;842137;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA842137;Ile-de-France;(33) - Cadre de la fonction publique;Ensemble pour la République;EPR;;;
Wallis-et-Futuna;1-Mikaele Seo;Mikaele Seo;mikaele.seo@assemblee-nationale.fr;1;Mikaele;Seo;757225;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA757225;Wallis-et-Futuna;Profession intermédiaire administrative de la fonction publique;Ensemble pour la République;EPR;;;
Guadeloupe;1-Olivier Serva;Olivier Serva;olivier.serva@assemblee-nationale.fr, Olivier.Serva@assemblee-nationale.fr;1;Olivier;Serva;720960;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720960;Guadeloupe;Expert comptable;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Val-d'Oise;1-Anne Sicard;Anne Sicard;anne.sicard@assemblee-nationale.fr;1;Anne;Sicard;842255;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA842255;Ile-de-France;(37) - Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
Haute-Garonne;6-Arnaud Simion;Arnaud Simion;arnaud.simion@assemblee-nationale.fr;6;Arnaud;Simion;841091;Affaires sociales;841091;https://www.assemblee-nationale.fr/dyn/deputes/PA841091;Occitanie;(33) - Cadre de la fonction publique;Socialistes et apparentés;SOC;;;
Paris;15-Danielle Simonnet;Danielle Simonnet;danielle.simonnet@assemblee-nationale.fr;15;Danielle;Simonnet;796018;Finances, de l'économie générale et du contrôle budgétaire;796018;https://www.assemblee-nationale.fr/dyn/deputes/PA796018;Ile-de-France;Professeur, profession scientifique;Écologiste et Social;EcoS;;;
Bas-Rhin;5-Charles Sitzenstuhl;Charles Sitzenstuhl;charles.sitzenstuhl@assemblee-nationale.fr;5;Charles;Sitzenstuhl;794802;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794802;Grand Est;Cadre de la fonction publique;Ensemble pour la République;EPR;;;
